source_id,target_id,type,weight,percentage,as_of,source_doc,notes
P001,C001,OWNS,1.0,100.0,2020-01-01,"corp_registry","Direct ownership."
C001,C002,OWNS,1.0,60.0,2020-06-15,"corp_registry","Majority stake."
C002,C004,OWNS,1.0,51.0,2013-03-22,"corp_registry","Operating subsidiary."
C001,C019,OWNS,1.0,40.0,2014-08-10,"corp_registry","Minority stake."
P012,C019,OWNS,1.0,50.0,2015-02-04,"corp_registry","Majority partner."
P012,C014,OWNS,1.0,100.0,2011-04-18,"corp_registry","Sole owner."
P012,P001,BUSINESS_PARTNER_OF,0.9,,2010-01-01,"news_article_004","Long-standing business association."
P017,C002,DIRECTOR_OF,1.0,,2018-06-01,"corp_registry","Board director."
P017,C006,DIRECTOR_OF,1.0,,2016-09-12,"corp_registry","Board director."
P004,C005,OWNS,1.0,60.0,2002-03-20,"corp_registry","Founder and majority owner."
C005,C002,OWNS,1.0,15.0,2021-11-30,"corp_registry","Minority investment."
P008,C005,DIRECTOR_OF,1.0,,2020-04-15,"corp_registry","Board director."
P005,C016,OWNS,1.0,100.0,2010-02-28,"corp_registry","Sole owner."
P011,P005,RELATIVE_OF,0.9,,,"news_article_009","First cousin (synthetic)."
P011,C017,OWNS,1.0,100.0,2017-04-11,"corp_registry","Founder."
C017,C006,BUSINESS_PARTNER_OF,0.7,,2019-10-04,"news_article_009","Joint venture agreement."
P003,C010,OWNS,1.0,100.0,2003-12-01,"corp_registry","Founder and sole owner."
P015,P003,RELATIVE_OF,0.9,,,"news_article_006","First cousin (synthetic)."
P015,C011,DIRECTOR_OF,1.0,,2010-06-20,"corp_registry","Board director."
C011,C020,BUSINESS_PARTNER_OF,0.7,,2019-03-15,"news_article_007","Trading partner."
P006,C018,OWNS,1.0,100.0,1996-12-19,"corp_registry","Sole owner."
P006,P001,BUSINESS_PARTNER_OF,0.8,,2008-01-01,"news_article_011","Co-investor relationship."
P009,C003,DIRECTOR_OF,1.0,,2010-05-01,"corp_registry","Board director."
P009,C007,DIRECTOR_OF,1.0,,2008-11-20,"corp_registry","Board director."
P010,C008,DIRECTOR_OF,1.0,,2016-02-08,"corp_registry","Board director."
P010,C013,DIRECTOR_OF,1.0,,2014-07-15,"corp_registry","Board director."
P013,C003,DIRECTOR_OF,1.0,,2012-03-10,"corp_registry","Board director."
P014,C008,DIRECTOR_OF,1.0,,2018-05-22,"corp_registry","Board director."
P014,C015,DIRECTOR_OF,1.0,,2019-09-01,"corp_registry","Board director."
P016,C009,DIRECTOR_OF,1.0,,2014-10-12,"corp_registry","Board director."
P016,C012,DIRECTOR_OF,1.0,,2017-01-25,"corp_registry","Board director."
P018,C015,DIRECTOR_OF,1.0,,2020-04-30,"corp_registry","Board director."
P019,C012,DIRECTOR_OF,1.0,,2016-08-19,"corp_registry","Board director."
P020,C013,DIRECTOR_OF,1.0,,2015-11-03,"corp_registry","Board director."
